8/11/2019,pink flowered dress,black vans,flower crown,,,
8/12/2019,dark skinny jeans,black rhinestone tank top,black sandals,,,
8/13/2019,black overalls,polka dot button up,new black boots,,,
8/14/2019,striped shirt,blue overalls,brown sandals,,,
8/15/2019,black strappy top,purple shorts,brown sandals,,,
8/16/2019,cream dress,pink bralette,brown sandals,,,
8/17/2019,green romper,brown sandals,,,,
8/17/2019,red beaded top,leggings,brown sandals,,,
8/18/2019,navy blue romper,brown sandals,,,,
8/19/2019,maroon skirt,soft blue button down,brown sandals,,,
8/20/2019,black button skirt,white lace crop top,brown sandals,,,
8/21/2019,striped skirt,black tee,new black boots,,,
8/22/2019,black strappy top,grey plaid skirt,brown sandals,,,
8/23/2019,navy blue romper,black tank top,brown sandals,,,
8/24/2019,light high waisted shorts,thirsty tank,sneakers,,,
8/24/2019,black high waisted shorts,brown henley,black vans,,,
8/25/2019,checked wrap dress,brown sandals,white bralette,,,
8/26/2019,black overalls,white lace crop top,black tights,black vans,,
8/27/2019,striped shirt,maroon skirt,black knee highs,black vans,,
8/28/2019,black tank top,black circle skirt,black tights,black knee highs,red lace shirt,
8/29/2019,red canvas dress,brown sandals,,,,
8/30/2019,grey crop top,pink bralette,brown sandals,suspender shorts,,
8/30/2019,purple strappy top,black high waisted shorts,black vans,,,
8/31/2019,suspender shorts,black lace tank top,brown sandals,,,
8/31/2019,suspender shorts,slip,brown sandals,,,
9/2/2019,velvet dress,brown sandals,,,,
9/3/2019,purple lace dress,black vans,black knee highs,,,
9/4/2019,black triangle dress,new black boots,,,,
9/4/2019,black patterned shorts,grey crop top,brown sandals,,,
9/5/2019,polka dot trim top,grey plaid skirt,black tights,black vans,,
9/6/2019,black overalls,blue striped sweater,black vans,,,
9/7/2019,black romper,white bralette,new black boots,,,
9/8/2019,black tights,black vans,slip,,,
9/9/2019,embroidered dress,brown sandals,,,,
9/10/2019,suspender shorts,white tee,new black boots,,,
9/11/2019,red jumper,black long sleeve crop top,black vans,,,
9/12/2019,brown henley,yellow flowered skirt,brown sandals,,,
9/13/2019,red tee,black overalls,black vans,,,
9/14/2019,jumpsuit,white bralette,brown sandals,,,
9/15/2019,cream dress,white bralette,brown sandals,flower crown,,
9/15/2019,sparkly romper,new black boots,,,,
9/16/2019,soft blue button down,striped skirt,new black boots,,,
9/18/2019,black jeans,velvet maroon sweater,black vans,,,
9/19/2019,black tights,black knee highs,blue plaid skirt,polka dot trim top,grey cable knit sweater,new black boots
