n_worn,type,color,pattern,mask,radius,sorter,img
3,top,black,other,True,21.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/rosie_the_riveter_tank_top.png
1,dress,red,other,True,20.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/saree_dress.png
4,dress,blue,polka dots,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/see_through_dress.png
2,top,grey,lace,True,20.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/silver_tank_top.png
5,shoes,black,solid,True,21.0,4,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/sneakers.png
7,top,blue,polka dots,True,22.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/soft_blue_button_down.png
6,top,black,stripes,True,22.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/striped_shirt.png
7,skirt,grey,stripes,True,22.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/striped_skirt.png
2,top,black,other,True,20.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/thirsty_tank.png
2,top,black,solid,True,20.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/thirsty_tank.png
3,top,grey,other,True,21.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/triangle_crop_top.png
3,top,grey,other,True,21.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/tribal_crop_top.png
1,top,blue,other,True,20.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/tribal_tank_top.png
4,dress,green,floral,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/vine_dress.png
2,dress,white,solid,True,20.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/wedding_dress.png
7,other,white,lace,True,22.0,1,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/white_bralette.png
2,dress,white,solid,True,20.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/white_button_dress.png
2,dress,white,solid,True,20.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/white_dress.png
5,top,white,lace,True,21.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/white_lace_crop_top.png
2,dress,white,lace,True,20.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/white_lace_dress.png
4,top,white,solid,True,21.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/white_long_sleeve_crop_top.png
4,skirt,yellow,floral,True,21.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/yellow_flowered_skirt.png
